fuente_institucional,anio,titulo,id,url
UDEC,2021,"Rasgos funcionales de especies de plantas nativas asociados a persistencia, establecimiento y dispersión en ecosistemas emergentes ubicados en áreas periurbanas de Concepción.",UDEC_4185177e78d595c94910aa3ffb96f53e,https://espaciociencia.anid.cl/detalles?id=UDEC_4185177e78d595c94910aa3ffb96f53e
REPO,2020,"Actualización del catastro de ensamble de moluscos costero-marinos del archipiélago Diego Ramírez (56°31?S), Chile: un refugio para la economía sustentable y conservación subantártica",Repo_ANID_d1a428acb22047940df87f0c14fbf919,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_d1a428acb22047940df87f0c14fbf919
ANID,2020,Estrategias de uso y adquisición de recursos en plantas y su efecto sobre procesos ecosistémicos asociados a los ciclos del carbono y nitrógeno en ecosistemas áridos,ANID_7d08f96b0221ac2e3103f4192a4f2cf5,https://espaciociencia.anid.cl/detalles?id=ANID_7d08f96b0221ac2e3103f4192a4f2cf5
PUC,2020,Estrategias proyectuales para la generación de un ecosistema urbano sustentable : caso del tren Alameda-Melipilla y su potencial para el manejo del agua,PUC_72f9da0fb2d31708672904b4f7f08557,https://espaciociencia.anid.cl/detalles?id=PUC_72f9da0fb2d31708672904b4f7f08557
SCIELO,2020,Estudio de un proceso de aprendizaje en ciencias experimentales a partir de la Teoría del Caos,SCIELO_cd0fd9bdbc452293d66b96e4ecbef296,https://espaciociencia.anid.cl/detalles?id=SCIELO_cd0fd9bdbc452293d66b96e4ecbef296
REPO,2020,Evidence of illegal catch in the benthic artisanal fisheries of central Chile: patterns across species and management regimes,Repo_ANID_16bd44c4b0aa044ec0b1f3f9131c7dfa,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_16bd44c4b0aa044ec0b1f3f9131c7dfa
REPO,2020,Going off trails: How dispersed visitor use affects alpine vegetation,Repo_ANID_20b08fe99d5e2494df02340b8c99f9b7,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_20b08fe99d5e2494df02340b8c99f9b7
ANID,2020,Metodologías participativas de ciencia ciudadana y nuevos ecosistemas en suelos degradados en Tierra Amarilla,ANID_e8bff29680ab169c7efa911460fde389,https://espaciociencia.anid.cl/detalles?id=ANID_e8bff29680ab169c7efa911460fde389
REPO,2020,Predicting spatial variability of selected soil properties using digital soil mapping in a rainfed vineyard of central Chile,Repo_ANID_dab8dc78e9688f4c51e6155c7dad15c9,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_dab8dc78e9688f4c51e6155c7dad15c9
UDEC,2019,Aplicación de la metodología de evaluación de oportunidades de restauración(ROAM) para la recuperación del ecosistema de la cuenca del lago Lanalhue.,UDEC_d027f1f859e22894f8c9f38e494a34f5,https://espaciociencia.anid.cl/detalles?id=UDEC_d027f1f859e22894f8c9f38e494a34f5
UCHILE,2019,Emprendedores del ecosistema de innovación y emprendimiento OpenBeauchef: Caracterización de un modelo cultural del emprendimiento,UCHILE_51b93a89500bf174329ce8810b69104b,https://espaciociencia.anid.cl/detalles?id=UCHILE_51b93a89500bf174329ce8810b69104b
REPO,2019,Fronsdal fields from gauge functions in Vasiliev's higher spin gravity,Repo_ANID_86134bda350061e9257dfbe42b9c01a9,https://espaciociencia.anid.cl/detalles?id=Repo_ANID_86134bda350061e9257dfbe42b9c01a9
UCHILE,2019,Funcionamiento de un ecosistema fluvial altiplánico: variación espacio-temporal de macroinvertebrados bentónicos en la cuenca del río Lauca,UCHILE_57814f6ac00d2ea6941f15fa3cbd3c3e,https://espaciociencia.anid.cl/detalles?id=UCHILE_57814f6ac00d2ea6941f15fa3cbd3c3e
SCIELO,2019,Invasiones en montañas: ¿Cuánto hemos avanzado en los últimos 10 años y cuáles son los desafíos para los ecosistemas de los Andes?,SCIELO_ad189716196d30369f1787bcfece1424,https://espaciociencia.anid.cl/detalles?id=SCIELO_ad189716196d30369f1787bcfece1424
